"REF_DATE","GEO","DGUID","Educational attainment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995","Canada","2016A000011124","All levels of education","Percent","239","units","0","v99916314","1.1","10.6","A","","","1"
"1995","Canada","2016A000011124","Less than high school","Percent","239","units","0","v99916315","1.2","21.2","A","","","1"
"1995","Canada","2016A000011124","High school","Percent","239","units","0","v99916316","1.3","11.8","A","","","1"
"1995","Canada","2016A000011124","College or trade","Percent","239","units","0","v99916317","1.4","8.9","A","","","1"
"1995","Canada","2016A000011124","University","Percent","239","units","0","v99916318","1.5","5.7","B","","","1"
"1995","Newfoundland and Labrador","2016A000210","All levels of education","Percent","239","units","0","v99916319","2.1","21.5","B","","","1"
"1995","Newfoundland and Labrador","2016A000210","Less than high school","Percent","239","units","0","v99916320","2.2","41.5","B","","","1"
"1995","Newfoundland and Labrador","2016A000210","High school","Percent","239","units","0","v99916321","2.3","21.4","B","","","1"
"1995","Newfoundland and Labrador","2016A000210","College or trade","Percent","239","units","0","v99916322","2.4","19.5","B","","","1"
"1995","Newfoundland and Labrador","2016A000210","University","Percent","239","units","0","v99916323","2.5","10.5","C","","","1"
"1995","Prince Edward Island","2016A000211","All levels of education","Percent","239","units","0","v99916324","3.1","19.5","B","","","1"
"1995","Prince Edward Island","2016A000211","Less than high school","Percent","239","units","0","v99916325","3.2","36.4","B","","","1"
"1995","Prince Edward Island","2016A000211","High school","Percent","239","units","0","v99916326","3.3","23.6","B","","","1"
"1995","Prince Edward Island","2016A000211","College or trade","Percent","239","units","0","v99916327","3.4","14.6","B","","","1"
"1995","Prince Edward Island","2016A000211","University","Percent","239","units","0","v99916328","3.5","","x","","","1"
"1995","Nova Scotia","2016A000212","All levels of education","Percent","239","units","0","v99916329","4.1","14.7","B","","","1"
"1995","Nova Scotia","2016A000212","Less than high school","Percent","239","units","0","v99916330","4.2","26.7","B","","","1"
"1995","Nova Scotia","2016A000212","High school","Percent","239","units","0","v99916331","4.3","15.3","B","","","1"
"1995","Nova Scotia","2016A000212","College or trade","Percent","239","units","0","v99916332","4.4","13.8","B","","","1"
"1995","Nova Scotia","2016A000212","University","Percent","239","units","0","v99916333","4.5","8.1","C","","","1"
"1995","New Brunswick","2016A000213","All levels of education","Percent","239","units","0","v99916334","5.1","12.8","B","","","1"
"1995","New Brunswick","2016A000213","Less than high school","Percent","239","units","0","v99916335","5.2","24.0","B","","","1"
"1995","New Brunswick","2016A000213","High school","Percent","239","units","0","v99916336","5.3","13.9","B","","","1"
"1995","New Brunswick","2016A000213","College or trade","Percent","239","units","0","v99916337","5.4","10.6","B","","","1"
"1995","New Brunswick","2016A000213","University","Percent","239","units","0","v99916338","5.5","7.7","D","","","1"
"1995","Quebec","2016A000224","All levels of education","Percent","239","units","0","v99916339","6.1","12.1","A","","","1"
"1995","Quebec","2016A000224","Less than high school","Percent","239","units","0","v99916340","6.2","23.1","B","","","1"
"1995","Quebec","2016A000224","High school","Percent","239","units","0","v99916341","6.3","13.7","B","","","1"
"1995","Quebec","2016A000224","College or trade","Percent","239","units","0","v99916342","6.4","9.9","B","","","1"
"1995","Quebec","2016A000224","University","Percent","239","units","0","v99916343","6.5","7.3","B","","","1"
"1995","Ontario","2016A000235","All levels of education","Percent","239","units","0","v99916344","7.1","9.9","A","","","1"
"1995","Ontario","2016A000235","Less than high school","Percent","239","units","0","v99916345","7.2","21.4","B","","","1"
"1995","Ontario","2016A000235","High school","Percent","239","units","0","v99916346","7.3","12.5","B","","","1"
"1995","Ontario","2016A000235","College or trade","Percent","239","units","0","v99916347","7.4","7.2","B","","","1"
"1995","Ontario","2016A000235","University","Percent","239","units","0","v99916348","7.5","4.7","B","","","1"
"1995","Manitoba","2016A000246","All levels of education","Percent","239","units","0","v99916349","8.1","8.2","B","","","1"
"1995","Manitoba","2016A000246","Less than high school","Percent","239","units","0","v99916350","8.2","15.7","B","","","1"
"1995","Manitoba","2016A000246","High school","Percent","239","units","0","v99916351","8.3","7.2","B","","","1"
"1995","Manitoba","2016A000246","College or trade","Percent","239","units","0","v99916352","8.4","7.0","B","","","1"
"1995","Manitoba","2016A000246","University","Percent","239","units","0","v99916353","8.5","6.7","C","","","1"
"1995","Saskatchewan","2016A000247","All levels of education","Percent","239","units","0","v99916354","9.1","9.2","B","","","1"
"1995","Saskatchewan","2016A000247","Less than high school","Percent","239","units","0","v99916355","9.2","20.4","B","","","1"
"1995","Saskatchewan","2016A000247","High school","Percent","239","units","0","v99916356","9.3","8.5","B","","","1"
"1995","Saskatchewan","2016A000247","College or trade","Percent","239","units","0","v99916357","9.4","8.0","C","","","1"
"1995","Saskatchewan","2016A000247","University","Percent","239","units","0","v99916358","9.5","","x","","","1"
"1995","Alberta","2016A000248","All levels of education","Percent","239","units","0","v99916359","10.1","8.3","B","","","1"
"1995","Alberta","2016A000248","Less than high school","Percent","239","units","0","v99916360","10.2","14.7","B","","","1"
"1995","Alberta","2016A000248","High school","Percent","239","units","0","v99916361","10.3","8.4","B","","","1"
"1995","Alberta","2016A000248","College or trade","Percent","239","units","0","v99916362","10.4","8.3","B","","","1"
"1995","Alberta","2016A000248","University","Percent","239","units","0","v99916363","10.5","4.6","C","","","1"
"1995","British Columbia","2016A000259","All levels of education","Percent","239","units","0","v99916364","11.1","9.6","B","","","1"
"1995","British Columbia","2016A000259","Less than high school","Percent","239","units","0","v99916365","11.2","16.4","B","","","1"
"1995","British Columbia","2016A000259","High school","Percent","239","units","0","v99916366","11.3","10.5","B","","","1"
"1995","British Columbia","2016A000259","College or trade","Percent","239","units","0","v99916367","11.4","9.2","B","","","1"
"1995","British Columbia","2016A000259","University","Percent","239","units","0","v99916368","11.5","5.1","C","","","1"
"2000","Canada","2016A000011124","All levels of education","Percent","239","units","0","v99916314","1.1","6.9","A","","","1"
"2000","Canada","2016A000011124","Less than high school","Percent","239","units","0","v99916315","1.2","17.2","B","","","1"
"2000","Canada","2016A000011124","High school","Percent","239","units","0","v99916316","1.3","7.8","A","","","1"
"2000","Canada","2016A000011124","College or trade","Percent","239","units","0","v99916317","1.4","5.6","A","","","1"
"2000","Canada","2016A000011124","University","Percent","239","units","0","v99916318","1.5","4.3","B","","","1"
"2000","Newfoundland and Labrador","2016A000210","All levels of education","Percent","239","units","0","v99916319","2.1","15.1","B","","","1"
"2000","Newfoundland and Labrador","2016A000210","Less than high school","Percent","239","units","0","v99916320","2.2","40.9","B","","","1"
"2000","Newfoundland and Labrador","2016A000210","High school","Percent","239","units","0","v99916321","2.3","17.7","C","","","1"
"2000","Newfoundland and Labrador","2016A000210","College or trade","Percent","239","units","0","v99916322","2.4","11.8","B","","","1"
"2000","Newfoundland and Labrador","2016A000210","University","Percent","239","units","0","v99916323","2.5","","x","","","1"
"2000","Prince Edward Island","2016A000211","All levels of education","Percent","239","units","0","v99916324","3.1","15.0","B","","","1"
"2000","Prince Edward Island","2016A000211","Less than high school","Percent","239","units","0","v99916325","3.2","32.9","B","","","1"
"2000","Prince Edward Island","2016A000211","High school","Percent","239","units","0","v99916326","3.3","20.3","B","","","1"
"2000","Prince Edward Island","2016A000211","College or trade","Percent","239","units","0","v99916327","3.4","9.6","C","","","1"
"2000","Prince Edward Island","2016A000211","University","Percent","239","units","0","v99916328","3.5","","x","","","1"
"2000","Nova Scotia","2016A000212","All levels of education","Percent","239","units","0","v99916329","4.1","8.9","B","","","1"
"2000","Nova Scotia","2016A000212","Less than high school","Percent","239","units","0","v99916330","4.2","23.5","C","","","1"
"2000","Nova Scotia","2016A000212","High school","Percent","239","units","0","v99916331","4.3","10.0","C","","","1"
"2000","Nova Scotia","2016A000212","College or trade","Percent","239","units","0","v99916332","4.4","8.2","B","","","1"
"2000","Nova Scotia","2016A000212","University","Percent","239","units","0","v99916333","4.5","4.2","D","","","1"
"2000","New Brunswick","2016A000213","All levels of education","Percent","239","units","0","v99916334","5.1","11.1","B","","","1"
"2000","New Brunswick","2016A000213","Less than high school","Percent","239","units","0","v99916335","5.2","29.8","B","","","1"
"2000","New Brunswick","2016A000213","High school","Percent","239","units","0","v99916336","5.3","14.1","B","","","1"
"2000","New Brunswick","2016A000213","College or trade","Percent","239","units","0","v99916337","5.4","8.7","B","","","1"
"2000","New Brunswick","2016A000213","University","Percent","239","units","0","v99916338","5.5","","x","","","1"
"2000","Quebec","2016A000224","All levels of education","Percent","239","units","0","v99916339","6.1","8.8","B","","","1"
"2000","Quebec","2016A000224","Less than high school","Percent","239","units","0","v99916340","6.2","22.5","B","","","1"
"2000","Quebec","2016A000224","High school","Percent","239","units","0","v99916341","6.3","9.8","B","","","1"
"2000","Quebec","2016A000224","College or trade","Percent","239","units","0","v99916342","6.4","6.7","B","","","1"
"2000","Quebec","2016A000224","University","Percent","239","units","0","v99916343","6.5","5.1","B","","","1"
"2000","Ontario","2016A000235","All levels of education","Percent","239","units","0","v99916344","7.1","5.7","A","","","1"
"2000","Ontario","2016A000235","Less than high school","Percent","239","units","0","v99916345","7.2","12.5","B","","","1"
"2000","Ontario","2016A000235","High school","Percent","239","units","0","v99916346","7.3","7.1","B","","","1"
"2000","Ontario","2016A000235","College or trade","Percent","239","units","0","v99916347","7.4","4.5","B","","","1"
"2000","Ontario","2016A000235","University","Percent","239","units","0","v99916348","7.5","4.0","B","","","1"
"2000","Manitoba","2016A000246","All levels of education","Percent","239","units","0","v99916349","8.1","5.3","B","","","1"
"2000","Manitoba","2016A000246","Less than high school","Percent","239","units","0","v99916350","8.2","11.2","C","","","1"
"2000","Manitoba","2016A000246","High school","Percent","239","units","0","v99916351","8.3","4.3","B","","","1"
"2000","Manitoba","2016A000246","College or trade","Percent","239","units","0","v99916352","8.4","4.4","C","","","1"
"2000","Manitoba","2016A000246","University","Percent","239","units","0","v99916353","8.5","5.6","C","","","1"
"2000","Saskatchewan","2016A000247","All levels of education","Percent","239","units","0","v99916354","9.1","5.8","B","","","1"
"2000","Saskatchewan","2016A000247","Less than high school","Percent","239","units","0","v99916355","9.2","14.1","C","","","1"
"2000","Saskatchewan","2016A000247","High school","Percent","239","units","0","v99916356","9.3","6.0","B","","","1"
"2000","Saskatchewan","2016A000247","College or trade","Percent","239","units","0","v99916357","9.4","4.3","C","","","1"
"2000","Saskatchewan","2016A000247","University","Percent","239","units","0","v99916358","9.5","","x","","","1"
"2000","Alberta","2016A000248","All levels of education","Percent","239","units","0","v99916359","10.1","5.2","B","","","1"
"2000","Alberta","2016A000248","Less than high school","Percent","239","units","0","v99916360","10.2","10.8","C","","","1"
"2000","Alberta","2016A000248","High school","Percent","239","units","0","v99916361","10.3","5.8","B","","","1"
"2000","Alberta","2016A000248","College or trade","Percent","239","units","0","v99916362","10.4","4.3","C","","","1"
"2000","Alberta","2016A000248","University","Percent","239","units","0","v99916363","10.5","3.8","C","","","1"
"2000","British Columbia","2016A000259","All levels of education","Percent","239","units","0","v99916364","11.1","6.9","B","","","1"
"2000","British Columbia","2016A000259","Less than high school","Percent","239","units","0","v99916365","11.2","16.2","C","","","1"
"2000","British Columbia","2016A000259","High school","Percent","239","units","0","v99916366","11.3","8.1","B","","","1"
"2000","British Columbia","2016A000259","College or trade","Percent","239","units","0","v99916367","11.4","5.2","B","","","1"
"2000","British Columbia","2016A000259","University","Percent","239","units","0","v99916368","11.5","4.3","C","","","1"
"2001","Canada","2016A000011124","All levels of education","Percent","239","units","0","v99916314","1.1","7.4","A","","","1"
"2001","Canada","2016A000011124","Less than high school","Percent","239","units","0","v99916315","1.2","15.9","B","","","1"
"2001","Canada","2016A000011124","High school","Percent","239","units","0","v99916316","1.3","8.3","A","","","1"
"2001","Canada","2016A000011124","College or trade","Percent","239","units","0","v99916317","1.4","6.3","A","","","1"
